host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,850.0,1,365,1,8,38,68,343,4.65,4.78,4.81,4.85,4.89,4.0,4.48,1,0.22,0,0,11,9.45
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,890.0,3,1125,1,25,55,85,360,4.66,4.73,4.82,4.92,4.86,4.2,4.6,1,0.38,3,0,11,10.97
3,1.0,0.97,1,57,1,1,0,6,1.0,3.0,2467.0,2,1125,1,17,34,64,339,4.77,4.82,4.7,4.91,4.95,4.29,4.73,0,2.03,3,1,10,9.96
1,0.75,1.0,0,24,1,1,2,2,1.0,2.0,700.0,2,1125,1,23,53,83,83,2.5,4.5,5.0,5.0,4.0,4.0,5.0,0,0.02,1,1,11,1.86
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,700.0,2,365,1,30,60,90,365,4.64,4.71,4.69,4.8,4.83,4.15,4.54,1,0.32,3,0,11,10.43
3,1.0,1.0,0,11,1,1,0,2,1.0,1.0,1200.0,1,1125,1,0,0,0,0,4.82,4.9,4.81,4.89,4.9,4.71,4.81,1,2.62,3,1,10,10.09
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,790.0,1,1125,1,8,38,68,340,4.63,4.72,4.64,4.65,4.74,4.13,4.61,1,0.41,3,0,11,8.87
3,1.0,1.0,0,74,1,1,0,2,1.0,1.0,650.0,1,1125,1,1,25,55,330,4.66,4.81,4.68,4.84,4.88,4.67,4.71,1,0.98,3,1,12,8.97
3,0.92,0.71,0,119,1,1,0,8,3.0,4.0,39999.0,2,100,1,30,60,65,334,4.7,4.7,4.85,4.83,4.72,4.22,4.67,0,0.38,3,1,10,5.03
3,1.0,1.0,0,74,1,1,0,3,1.0,1.0,850.0,1,1125,1,3,33,63,338,4.45,4.55,4.49,4.76,4.77,4.56,4.53,1,3.2,3,1,12,11.27
3,1.0,1.0,0,7,1,1,2,2,3.0,1.0,850.0,1,1125,1,23,53,83,358,4.68,4.74,4.83,4.78,4.81,4.52,4.65,1,1.94,3,1,10,10.06
3,1.0,0.96,0,8,1,1,2,4,1.0,1.0,1732.0,1,180,1,19,44,69,344,4.79,4.84,4.81,4.85,4.79,4.52,4.63,1,0.62,3,1,11,10.64
0,0.0,0.21,0,4,1,1,0,2,1.0,1.0,1400.0,15,365,1,0,28,58,333,4.7,4.84,4.59,4.76,4.81,4.73,4.63,0,0.69,3,1,11,9.54
3,1.0,1.0,0,74,1,1,0,2,1.0,1.0,750.0,1,1125,1,0,23,53,328,4.58,4.69,4.6,4.77,4.79,4.61,4.65,1,1.74,3,1,12,10.95
3,1.0,1.0,1,52,1,1,0,2,1.0,1.0,1350.0,14,1125,1,0,7,37,210,4.75,5.0,4.75,5.0,5.0,4.0,4.75,0,0.34,2,0,11,0.78
2,1.0,1.0,0,1,1,1,0,1,1.0,1.0,1626.0,4,1125,1,0,0,18,293,4.83,4.83,4.67,4.67,4.83,4.67,4.5,0,0.05,2,0,11,9.06
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,1800.0,30,365,1,0,21,51,326,4.75,4.76,5.0,4.95,4.81,4.05,4.67,0,0.17,0,0,10,6.49
3,1.0,0.98,0,18,1,1,0,2,1.0,1.0,924.0,29,1125,1,0,3,33,308,4.69,4.67,4.58,4.78,4.82,4.42,4.65,1,1.08,3,1,12,10.52
2,0.98,0.98,0,106,1,1,2,2,1.0,1.0,2850.0,30,365,1,9,9,9,230,4.82,5.0,5.0,4.82,4.73,4.45,4.91,0,0.09,0,0,10,9.72
